"Tube.ID","Date","Tank.ID","Treatment","Number.animals","Purpose","Location","Notes","unknwn","Box.position","Storage.Box.ID"
113,20190725,"21","AHS",1,"molecular","Putnam Lab URI -80C","Day1","","C2","Sam Gurr 2019 Thresholds Geoduck BOX #1"
114,20190725,"21","AHS",1,"molecular","Putnam Lab URI -80C","Day1","","G3","Sam Gurr 2019 Thresholds Geoduck BOX #1"
115,20190725,"21","AHS",1,"molecular","Putnam Lab URI -80C","Day1","","A9","Sam Gurr 2019 Thresholds Geoduck BOX #14"
116,20190725,"21","AHS",3,"cellular","Putnam Lab URI -80C","Day1","","A7","Sam Gurr 2019 Thresholds Geoduck BOX #15"
117,20190725,"22","EHS",1,"molecular","Putnam Lab URI -80C","Day1","","D3","Sam Gurr 2019 Thresholds Geoduck BOX #5"
118,20190725,"22","EHS",1,"molecular","Putnam Lab URI -80C","Day1","","D3","Sam Gurr 2019 Thresholds Geoduck BOX #1"
119,20190725,"22","EHS",1,"molecular","Putnam Lab URI -80C","Day1","","I6","Sam Gurr 2019 Thresholds Geoduck BOX #2"
120,20190725,"22","EHS",3,"cellular","Putnam Lab URI -80C","Day1","","G7","Sam Gurr 2019 Thresholds Geoduck BOX #12"
121,20190725,"23","EHS",1,"molecular","Putnam Lab URI -80C","Day1","","H5","Sam Gurr 2019 Thresholds Geoduck BOX #13"
122,20190725,"23","EHS",1,"molecular","Putnam Lab URI -80C","Day1","","B6","Sam Gurr 2019 Thresholds Geoduck BOX #2"
123,20190725,"23","EHS",1,"molecular","Putnam Lab URI -80C","Day1","","B5","Sam Gurr 2019 Thresholds Geoduck BOX #3"
124,20190725,"23","EHS",3,"cellular","Putnam Lab URI -80C","Day1","","G3","Sam Gurr 2019 Thresholds Geoduck BOX #15"
125,20190725,"24","AHS",1,"molecular","Putnam Lab URI -80C","Day1","","A5","Sam Gurr 2019 Thresholds Geoduck BOX #14"
126,20190725,"24","AHS",1,"molecular","Putnam Lab URI -80C","Day1","","H6","Sam Gurr 2019 Thresholds Geoduck BOX #1"
127,20190725,"24","AHS",1,"molecular","Putnam Lab URI -80C","Day1","","F2","Sam Gurr 2019 Thresholds Geoduck BOX #15"
128,20190725,"24","AHS",3,"cellular","Putnam Lab URI -80C","Day1","","I9","Sam Gurr 2019 Thresholds Geoduck BOX #5"
129,20190725,"25","AHA",1,"molecular","Putnam Lab URI -80C","Day1","","F4","Sam Gurr 2019 Thresholds Geoduck BOX #1"
130,20190725,"25","AHA",1,"molecular","Putnam Lab URI -80C","Day1","","F5","Sam Gurr 2019 Thresholds Geoduck BOX #3"
131,20190725,"25","AHA",1,"molecular","Putnam Lab URI -80C","Day1","","A9","Sam Gurr 2019 Thresholds Geoduck BOX #15"
132,20190725,"25","AHA",3,"cellular","Putnam Lab URI -80C","Day1","","I7","Sam Gurr 2019 Thresholds Geoduck BOX #5"
133,20190725,"26","AHA",1,"molecular","Putnam Lab URI -80C","Day1","","G2","Sam Gurr 2019 Thresholds Geoduck BOX #1"
134,20190725,"26","AHA",1,"molecular","Putnam Lab URI -80C","Day1","","G2","Sam Gurr 2019 Thresholds Geoduck BOX #12"
135,20190725,"26","AHA",1,"molecular","Putnam Lab URI -80C","Day1","","D3","Sam Gurr 2019 Thresholds Geoduck BOX #13"
