Date,Tube.ID,Tank.ID,Treatment,Number.animals,Purpose,Location,Notes
20190725,162,33,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,163,33,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,164,33,AHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,165,34,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,166,34,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,167,34,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,168,34,AHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,169,35,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,170,35,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,171,35,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,172,35,EHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,173,36,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,174,36,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,175,36,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,176,36,AHA,3,cellular,Putnam Lab URI -80C,Day1
20190728,177,1,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,178,1,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,179,1,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,180,1,EHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,181,2,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,182,2,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,183,2,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,184,2,EHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,185,3,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,186,3,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,187,3,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,188,3,EHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,189,4,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,190,4,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,191,4,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,192,4,AHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,193,5,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,194,5,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,195,5,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,196,5,AHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,197,6,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,198,6,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,199,6,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,200,6,AHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,201,7,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,202,7,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,203,7,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,204,7,EHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,205,8,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,206,8,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,207,8,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,208,8,EHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,209,9,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,210,9,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,211,9,EHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,212,9,EHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,213,10,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,214,10,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,215,10,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,216,10,AHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,217,11,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,218,11,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,219,11,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,220,11,AHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,221,12,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,222,12,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,223,12,AHM,1,molecular,Putnam Lab URI -80C,Day4
20190728,224,12,AHM,3,cellular,Putnam Lab URI -80C,Day4
20190728,225,13,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,226,13,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,227,13,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,228,13,EHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,229,14,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,230,14,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,231,14,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,232,14,AHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,233,15,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,234,15,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,235,15,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,236,15,AHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,237,16,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,238,16,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,239,16,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,240,16,AHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,241,17,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,242,17,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,243,17,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,244,17,EHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,245,18,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,246,18,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,247,18,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,248,18,EHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,249,19,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,250,19,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,251,19,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,252,19,AHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,253,20,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,254,20,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,255,20,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,256,20,EHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,257,21,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,258,21,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,259,21,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,260,21,AHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,261,22,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,262,22,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,263,22,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,264,22,EHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,265,23,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,266,23,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,267,23,EHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,268,23,EHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,269,24,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,270,24,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,271,24,AHS,1,molecular,Putnam Lab URI -80C,Day4
20190728,272,24,AHS,3,cellular,Putnam Lab URI -80C,Day4
20190728,273,25,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,274,25,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,275,25,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,276,25,AHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,277,26,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,278,26,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,279,26,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,280,26,AHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,281,27,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,282,27,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,283,27,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,284,27,EHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,285,28,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,286,28,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,287,28,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,288,28,EHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,289,29,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,290,29,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,291,29,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,292,29,EHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,293,30,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,294,30,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,295,30,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,296,30,AHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,297,31,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,298,31,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,299,31,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,300,31,EHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,301,32,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,302,32,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,303,32,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,304,32,EHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,305,33,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,306,33,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,307,33,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,308,33,AHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,309,34,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,310,34,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,311,34,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,312,34,AHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,313,35,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,314,35,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,315,35,EHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,316,35,EHA,3,cellular,Putnam Lab URI -80C,Day4
20190728,317,36,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,318,36,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,319,36,AHA,1,molecular,Putnam Lab URI -80C,Day4
20190728,320,36,AHA,3,cellular,Putnam Lab URI -80C,Day4
20190731,321,1,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,322,1,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,323,1,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,324,1,EHM,3,cellular,Putnam Lab URI -80C,Day7
20190731,325,2,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,326,2,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,327,2,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,328,2,EHM,3,cellular,Putnam Lab URI -80C,Day7
20190731,329,3,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,330,3,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,331,3,EHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,332,3,EHM,3,cellular,Putnam Lab URI -80C,Day7
20190731,333,4,AHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,334,4,AHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,335,4,AHM,1,molecular,Putnam Lab URI -80C,Day7
20190731,336,4,AHM,3,cellular,Putnam Lab URI -80C,Day7
20190731,337,11,AHM,1,molecular,Putnam Lab URI -80C,Day7
