Tube.ID,unknwn,Box.position,Storage.Box.ID
770,,G5,Sam Gurr 2019 Thresholds Geoduck BOX #10
771,,D4,Sam Gurr 2019 Thresholds Geoduck BOX #10
772,,B2,Sam Gurr 2019 Thresholds Geoduck BOX #10
785,,I8,Sam Gurr 2019 Thresholds Geoduck BOX #10
798,,C2,Sam Gurr 2019 Thresholds Geoduck BOX #10
801,,E1,Sam Gurr 2019 Thresholds Geoduck BOX #10
807,,E6,Sam Gurr 2019 Thresholds Geoduck BOX #10
812,,E9,Sam Gurr 2019 Thresholds Geoduck BOX #10
838,,C3,Sam Gurr 2019 Thresholds Geoduck BOX #10
848,,A9,Sam Gurr 2019 Thresholds Geoduck BOX #10
864,,F7,Sam Gurr 2019 Thresholds Geoduck BOX #10
867,,D9,Sam Gurr 2019 Thresholds Geoduck BOX #10
872,,H8,Sam Gurr 2019 Thresholds Geoduck BOX #10
876,,D6,Sam Gurr 2019 Thresholds Geoduck BOX #10
888,,H1,Sam Gurr 2019 Thresholds Geoduck BOX #10
956,,C8,Sam Gurr 2019 Thresholds Geoduck BOX #10
964,,G8,Sam Gurr 2019 Thresholds Geoduck BOX #10
969,,D8,Sam Gurr 2019 Thresholds Geoduck BOX #10
980,,A1,Sam Gurr 2019 Thresholds Geoduck BOX #10
999,,B7,Sam Gurr 2019 Thresholds Geoduck BOX #10
1013,,D1,Sam Gurr 2019 Thresholds Geoduck BOX #10
1031,,F1,Sam Gurr 2019 Thresholds Geoduck BOX #10
1056,,C4,Sam Gurr 2019 Thresholds Geoduck BOX #10
1066,,G1,Sam Gurr 2019 Thresholds Geoduck BOX #10
1072,,I3,Sam Gurr 2019 Thresholds Geoduck BOX #10
1086,,B9,Sam Gurr 2019 Thresholds Geoduck BOX #10
1091,,E4,Sam Gurr 2019 Thresholds Geoduck BOX #10
1097,,F9,Sam Gurr 2019 Thresholds Geoduck BOX #10
1002,,E7,Sam Gurr 2019 Thresholds Geoduck BOX #10
1007,,H9,Sam Gurr 2019 Thresholds Geoduck BOX #10
1134,,A5,Sam Gurr 2019 Thresholds Geoduck BOX #10
1137,,H7,Sam Gurr 2019 Thresholds Geoduck BOX #10
1138,,G7,Sam Gurr 2019 Thresholds Geoduck BOX #10
1191,,E3,Sam Gurr 2019 Thresholds Geoduck BOX #10
1172,,G3,Sam Gurr 2019 Thresholds Geoduck BOX #10
1184,,H2,Sam Gurr 2019 Thresholds Geoduck BOX #10
1202,,B1,Sam Gurr 2019 Thresholds Geoduck BOX #10
1205,,F2,Sam Gurr 2019 Thresholds Geoduck BOX #10
1216,,I9,Sam Gurr 2019 Thresholds Geoduck BOX #10
1221,,B4,Sam Gurr 2019 Thresholds Geoduck BOX #10
1223,,C1,Sam Gurr 2019 Thresholds Geoduck BOX #10
1235,,A7,Sam Gurr 2019 Thresholds Geoduck BOX #10
1521,,D5,Sam Gurr 2019 Thresholds Geoduck BOX #10
1253,,H5,Sam Gurr 2019 Thresholds Geoduck BOX #10
1262,,A8,Sam Gurr 2019 Thresholds Geoduck BOX #10
1298,,C7,Sam Gurr 2019 Thresholds Geoduck BOX #10
1511,,I2,Sam Gurr 2019 Thresholds Geoduck BOX #10
